총 미수금,,"16,608,095",현재 연체,0,,,이번달 입금 에정,"18,053,361",,,,,,,,,,,,,,,
청구기준,발생기준,거래처명,진료과,제품명,수량 확정,계산서,"당월 발생
(admin)",병원수량,차월이월,전월반영,최종건수,단가,공급가,부가세,청구금액,정산주기,입금 예정일 ,실제 입금일,미수금,채권상태,채권연령,잠금,비고
2026-01,2026-01,나비샘연합의원,내과,CAS,TRUE,TRUE,4,4,,,4,"11,818","47,273","4,727","52,000",30,2026-03-02,2026-02-10,0,완납,,TRUE,
2026-01,2026-01,단국대학교의과대학부속병원,내과,CAS,TRUE,TRUE,4,4,0,0,4,"12,955","51,818","5,182","57,000",90,2026-05-01,,"57,000",정상,-49,TRUE,
2026-01,2026-01,인하대학교의과대학부속병원,안과,CAS,TRUE,TRUE,4,23,,,23,"14,091","324,091","32,409","356,500",180,2026-07-30,,"356,500",정상,-139,TRUE,
2026-01,2026-01,부산백병원,내과,CAS,TRUE,TRUE,33,30,0,,30,"13,636","409,091","40,909","450,000",30,2026-03-02,2026-02-25,0,완납,,TRUE,
2026-01,2026-01,라파엘병원,내과,CAS,TRUE,TRUE,12,12,0,0,12,"11,818","141,818","14,182","156,000",60,2026-04-01,,"156,000",정상,-19,TRUE,
2026-01,2026-01,학교법인 울산공업학원 울산대학교병원,내과,CAS,TRUE,TRUE,2,2,0,,2,"13,636","27,273","2,727","30,000",30,2026-03-02,2026-02-20,0,완납,,TRUE,
2026-01,2026-01,김안과병원,안과,CAS,TRUE,TRUE,9,8,0,0,8,"11,818","94,545","9,455","104,000",60,2026-04-01,2026-02-26,0,완납,,TRUE,
2026-02,2025-12,세브란스병원,안과,CAS,TRUE,TRUE,276,0,276,247,247,"13,636","3,368,092","336,809","3,704,901",30,2026-03-30,,"3,704,901",정상,-17,TRUE,12월분
2026-01,2026-01,대림성모병원,내과,CAS,TRUE,TRUE,6,6,0,0,6,"13,636","81,818","8,182","90,000",60,2026-04-01,2026-02-26,0,완납,,TRUE,
2026-01,2026-01,가톨릭대학교 서울성모병원,안과,CAS,TRUE,TRUE,25,25,0,0,25,"14,545","363,636","36,364","400,000",60,2026-04-01,,"400,000",정상,-19,TRUE,
2026-01,2026-01,하승우내과,내과,CAS,TRUE,TRUE,33,33,0,0,33,"11,818","390,000","39,000","429,000",60,2026-04-01,,"429,000",정상,-19,TRUE,
2026-01,2026-01,샤일리안과,안과,EXO,TRUE,TRUE,9,7,0,0,7,"11,818","82,727","8,273","91,000",60,2026-04-01,2026-02-20,0,완납,,TRUE,
2026-02,2025-12,세브란스병원,안과,EXO,TRUE,TRUE,264,0,264,242,242,"13,636","3,299,912","329,991","3,629,903",60,2026-04-29,,"3,629,903",정상,-47,TRUE,12월분
2026-01,2026-01,죽전샘편한내과,내과,CAS,TRUE,TRUE,8,7,0,0,7,"11,818","82,727","8,273","91,000",60,2026-04-01,2026-02-05,0,완납,,TRUE,
2026-02,2026-01,세브란스병원,안과,CAS,TRUE,TRUE,276,267,0,0,267,"13,636","3,640,812","364,081","4,004,893",30,2026-03-30,,"4,004,893",정상,-17,TRUE,1월분
2026-02,2026-01,세브란스병원,안과,EXO,TRUE,TRUE,264,258,0,0,258,"13,636","3,518,088","351,809","3,869,897",30,2026-03-30,,"3,869,897",정상,-17,TRUE,1월분
2026-02,2026-02,나비샘연합의원,내과,CAS,TRUE,TRUE,1,1,0,0,1,"11,818","11,818","1,182","13,000",30,2026-03-30,2026-03-09,,완납,,TRUE,
2026-02,2026-02,단국대학교의과대학부속병원,내과,CAS,TRUE,TRUE,0,0,,,,"12,955",0,0,0,90,2026-05-29,,,정상,-77,TRUE,
2026-02,2026-02,인하대학교의과대학부속병원,안과,CAS,TRUE,TRUE,6,5,0,0,5,"14,091","70,455","7,045","77,500",180,2026-08-27,,,정상,-167,FALSE,
2026-02,2026-02,부산백병원,내과,CAS,TRUE,TRUE,23,22,0,0,22,"13,636","300,000","30,000","330,000",30,2026-03-30,,,정상,-17,TRUE,
2026-02,2026-02,라파엘병원,내과,CAS,TRUE,TRUE,14,13,0,0,13,"11,818","153,636","15,364","169,000",60,2026-04-29,,,정상,-47,TRUE,
2026-02,2026-02,학교법인 울산공업학원 울산대학교병원,내과,CAS,TRUE,TRUE,0,0,0,0,0,"13,636",0,0,0,30,2026-03-30,,,정상,-17,TRUE,
2026-02,2026-02,김안과병원,안과,CAS,TRUE,TRUE,6,7,0,0,7,"11,818","82,727","8,273","91,000",60,2026-04-29,,,정상,-47,FALSE,
2026-02,2026-03,세브란스병원,안과,CAS,FALSE,FALSE,205,200,0,0,200,"13,636","2,727,200","272,720","2,999,920",30,2026-03-30,,,정상,-17,FALSE,
2026-02,2026-02,대림성모병원,내과,CAS,TRUE,TRUE,2,2,0,0,2,"13,636","27,273","2,727","30,000",60,2026-04-29,,,정상,-47,FALSE,
2026-02,2026-02,가톨릭대학교 서울성모병원,안과,CAS,TRUE,TRUE,22,22,0,0,22,"14,545","320,000","32,000","352,000",60,2026-04-29,,,정상,-47,FALSE,
2026-02,2026-02,하승우내과,내과,CAS,TRUE,TRUE,9,9,0,0,9,"11,818","106,363","10,636","116,999",60,2026-04-29,,,정상,-47,TRUE,
2026-02,2026-02,샤일리안과,안과,EXO,TRUE,TRUE,9,9,0,0,9,"11,818","106,364","10,636","117,000",60,2026-04-29,,,정상,-47,FALSE,
2026-02,2026-03,세브란스병원,안과,EXO,FALSE,FALSE,204,199,0,0,199,"13,636","2,713,564","271,356","2,984,920",60,2026-04-29,,,정상,-47,FALSE,
2026-02,2026-02,가톨릭대학교 의정부성모병원,내과,CAS,TRUE,TRUE,18,13,0,0,13,"14,545","189,091","18,909","208,000",60,2026-04-29,,,정상,-47,FALSE,
2026-02,2026-02,가톨릭대학교 의정부성모병원,안과,EXO,TRUE,TRUE,14,10,0,0,10,"14,545","145,455","14,545","160,000",60,2026-04-29,,,정상,-47,FALSE,
2026-02,2026-02,죽전샘편한내과,내과,CAS,TRUE,TRUE,12,12,0,0,12,"11,818","141,818","14,182","156,000",60,2026-04-29,2026-03-03,,완납,,FALSE,
